Department Name,Address:,Specification,Brand,Model No,Serial No,Warranty Period,Category
Government Press Varanasi,"Printing and Stationary Department, Ramnagar Varanasi 221001",BPE UPS 650VA,BPE,BPE650,M0071L2509782,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2506366,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2504114,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2505602,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2506482,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2508164,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2506780,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2506328,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2509174,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2508994,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2505754,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2508538,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2508484,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2508386,3 Years,UPS
Government Press Prayagraj,"14/12, Sarojini Naidu Marg, Civil Lines, Prayagraj, Uttar Pradesh - 211001",BPE UPS 650VA,BPE,BPE650,M0071L2507424,3 Years,UPS
